FEN,Outcome
r1b4r/ppp2p1p/5p2/8/4k3/b7/1P3PPP/1R3K2 w - - 0 1,0.5
r1b4r/ppp2p1p/5p2/8/4k3/P7/5PPP/1R3K2 b - - 0 1,0.5
r1b4r/ppp2p1p/8/8/4kp2/P7/5PPP/1R3K2 w - - 0 1,0.5
r1b4r/pRp2p1p/8/8/4kp2/P7/5PPP/5K2 b - - 0 1,0.5
r6r/pbp2p1p/8/8/4kp2/P7/5PPP/5K2 w - - 0 1,0.5
r6r/pbp2p1p/8/8/4kp2/P6P/5PP1/5K2 b - - 0 1,0.5
r6r/pbp2p1p/8/4k3/5p2/P6P/5PP1/5K2 w - - 0 1,0.5
r6r/pbp2p1p/8/4k3/5p2/P4P1P/6P1/5K2 b - - 0 1,0.5
r6r/p1p2p1p/2b5/4k3/5p2/P4P1P/6P1/5K2 w - - 0 1,0.5
r6r/p1p2p1p/2b5/4k3/5p2/P4P1P/4K1P1/8 b - - 0 1,0.5
r6r/p1p2p1p/8/4k3/5p2/P4b1P/4K1P1/8 w - - 0 1,0.5
r6r/p1p2p1p/8/4k3/5p2/P4K1P/6P1/8 b - - 0 1,0.5
5r1r/p1p2p1p/8/4k3/5p2/P4K1P/6P1/8 w - - 0 1,0.5
5r1r/p1p2p1p/8/4k3/5pK1/P6P/6P1/8 b - - 0 1,0.5
5r1r/p1p2p1p/8/4k3/6K1/P4p1P/6P1/8 w - - 0 1,0.5
5r1r/p1p2p1p/8/4k3/8/P4K1P/6P1/8 b - - 0 1,0.5
3r3r/p1p2p1p/8/4k3/8/P4K1P/6P1/8 w - - 0 1,0.5
3r3r/p1p2p1p/8/4k3/8/P6P/5KP1/8 b - - 0 1,0.5
1r5r/p1p2p1p/8/4k3/8/P6P/5KP1/8 w - - 0 1,0.5
1r5r/p1p2p1p/8/4k3/8/P3K2P/6P1/8 b - - 0 1,0.5
1r5r/2p2p1p/p7/4k3/8/P3K2P/6P1/8 w - - 0 1,0.5
1r5r/2p2p1p/p7/4k3/8/P6P/4K1P1/8 b - - 0 1,0.5
1r5r/2p2p1p/p2k4/8/8/P6P/4K1P1/8 w - - 0 1,0.5
1r5r/2p2p1p/p2k4/8/8/P6P/3K2P1/8 b - - 0 1,0.5
5r1r/2p2p1p/p2k4/8/8/P6P/3K2P1/8 w - - 0 1,0.5
5r1r/2p2p1p/p2k4/8/8/P1K4P/6P1/8 b - - 0 1,0.5
5r1r/2p2p1p/p7/2k5/8/P1K4P/6P1/8 w - - 0 1,0.5
5r1r/2p2p1p/p7/2k5/8/P6P/2K3P1/8 b - - 0 1,0.5
5r1r/2p2p1p/p7/3k4/8/P6P/2K3P1/8 w - - 0 1,0.5
5r1r/2p2p1p/p7/3k4/8/P2K3P/6P1/8 b - - 0 1,0.5
r6r/2p2p1p/p7/3k4/8/P2K3P/6P1/8 w - - 0 1,0.5
r6r/2p2p1p/p7/3k3P/8/P2K4/6P1/8 b - - 0 1,0.5
r6r/2p2p1p/p2k4/7P/8/P2K4/6P1/8 w - - 0 1,0.5
r6r/2p2p1p/p2k4/7P/8/P3K3/6P1/8 b - - 0 1,0.5
1r5r/2p2p1p/p2k4/7P/8/P3K3/6P1/8 w - - 0 1,0.5
1r5r/2p2p1p/p2k4/7P/8/P7/3K2P1/8 b - - 0 1,0.5
1r5r/2p2p1p/p7/3k3P/8/P7/3K2P1/8 w - - 0 1,0.5
1r5r/2p2p1p/p6P/3k4/8/P7/3K2P1/8 b - - 0 1,0.5
2r4r/2p2p1p/p6P/3k4/8/P7/3K2P1/8 w - - 0 1,0.5
2r4r/2p2p1p/p6P/3k4/8/P1K5/6P1/8 b - - 0 1,0.5
2r4r/2p2p1p/p6P/4k3/8/P1K5/6P1/8 w - - 0 1,0.5
2r4r/2p2p1p/p6P/P3k3/8/2K5/6P1/8 b - - 0 1,0.5
2r4r/2p2p1p/p6P/P2k4/8/2K5/6P1/8 w - - 0 1,0.5
2r4r/2p2p1p/p6P/P2k4/8/8/3K2P1/8 b - - 0 1,0.5
2r2r2/2p2p1p/p6P/P2k4/8/8/3K2P1/8 w - - 0 1,0.5
2r2r2/2p2p1p/p6P/P2k4/8/8/4K1P1/8 b - - 0 1,0.5
2r3r1/2p2p1p/p6P/P2k4/8/8/4K1P1/8 w - - 0 1,0.5
2r3r1/2p2p1p/p6P/P2k4/8/4K3/6P1/8 b - - 0 1,0.5
2r5/2p2p1p/p6P/P2k4/8/4K3/6r1/8 w - - 0 1,0.5
2r5/2p2p1p/p6P/P2k4/8/5K2/6r1/8 b - - 0 1,0.5
2r5/2p2p1p/p5rP/P2k4/8/5K2/8/8 w - - 0 1,0.5
2r5/2p2p1p/p5rP/P2k4/5K2/8/8/8 b - - 0 1,0.5
2r5/2p2p1p/p6r/P2k4/5K2/8/8/8 w - - 0 1,0.5
2r5/2p2p1p/p6r/P2k4/8/5K2/8/8 b - - 0 1,0.5
2r5/2p2p1p/p7/P2k3r/8/5K2/8/8 w - - 0 1,0.5
2r5/2p2p1p/p7/P2k3r/8/6K1/8/8 b - - 0 1,0.5
2r5/2p2p1p/p7/P2k4/8/6Kr/8/8 w - - 0 1,0.5
2r5/2p2p1p/p7/P2k4/8/7K/8/8 b - - 0 1,0.5
2r5/2p2p2/p6p/P2k4/8/7K/8/8 w - - 0 1,0.5
2r5/2p2p2/p6p/P2k4/7K/8/8/8 b - - 0 1,0.5
2r5/2p2p2/p6p/P7/3k3K/8/8/8 w - - 0 1,0.5
2r5/2p2p2/p6p/P7/3k4/7K/8/8 b - - 0 1,0.5
2r5/2p2p2/p6p/P7/4k3/7K/8/8 w - - 0 1,0.5
2r5/2p2p2/p6p/P7/4k2K/8/8/8 b - - 0 1,0.5
5r2/2p2p2/p6p/P7/4k2K/8/8/8 w - - 0 1,0.5
5r2/2p2p2/p6p/P7/4k3/6K1/8/8 b - - 0 1,0.5
7r/2p2p2/p6p/P7/4k3/6K1/8/8 w - - 0 1,0.5
7r/2p2p2/p6p/P7/4k2K/8/8/8 b - - 0 1,0.5
7r/2p2p2/p6p/P7/7K/3k4/8/8 w - - 0 1,0.5
7r/2p2p2/p6p/P7/6K1/3k4/8/8 b - - 0 1,0.5
7r/2p2p2/p6p/P7/3k2K1/8/8/8 w - - 0 1,0.5
7r/2p2p2/p6p/P7/3k1K2/8/8/8 b - - 0 1,0.5
1r6/2p2p2/p6p/P7/3k1K2/8/8/8 w - - 0 1,0.5
1r6/2p2p2/p6p/P7/3k2K1/8/8/8 b - - 0 1,0.5
7r/2p2p2/p6p/P7/3k2K1/8/8/8 w - - 0 1,0.5
7r/2p2p2/p6p/P7/3k3K/8/8/8 b - - 0 1,0.5
7r/2p2p2/p6p/P2k4/7K/8/8/8 w - - 0 1,0.5
7r/2p2p2/p6p/P2k3K/8/8/8/8 b - - 0 1,0.5
7r/2p2p2/p6p/P6K/4k3/8/8/8 w - - 0 1,0.5
7r/2p2p2/p6p/P7/4k1K1/8/8/8 b - - 0 1,0.5
3r4/2p2p2/p6p/P7/4k1K1/8/8/8 w - - 0 1,0.5
3r4/2p2p2/p6p/P6K/4k3/8/8/8 b - - 0 1,0.5
8/2p2p2/p2r3p/P6K/4k3/8/8/8 w - - 0 1,0.5
8/2p2p2/p2r3p/P7/4k2K/8/8/8 b - - 0 1,0.5
8/2p2p2/pr5p/P7/4k2K/8/8/8 w - - 0 1,0.5
8/2p2p2/pr5p/P7/4k3/6K1/8/8 b - - 0 1,0.5
8/2p2p2/pr5p/P3k3/8/6K1/8/8 w - - 0 1,0.5
8/2p2p2/pP5p/4k3/8/6K1/8/8 b - - 0 1,0.5
8/5p2/pp5p/4k3/8/6K1/8/8 w - - 0 1,0.5
8/5p2/pp5p/4k3/8/5K2/8/8 b - - 0 1,0.5
8/5p2/p6p/4k3/1p6/5K2/8/8 w - - 0 1,0.5
8/5p2/p6p/4k3/1p4K1/8/8/8 b - - 0 1,0.5
8/5p2/p7/4k3/1p4Kp/8/8/8 w - - 0 1,0.5
8/5p2/p7/4k3/1p5K/8/8/8 b - - 0 1,0.5
8/5p2/p7/4k3/7K/1p6/8/8 w - - 0 1,0.5
8/5p2/p7/4k3/8/1p5K/8/8 b - - 0 1,0.5
8/5p2/p7/4k3/8/7K/1p6/8 w - - 0 1,0.5
8/5p2/p7/4k3/7K/8/1p6/8 b - - 0 1,0.5
8/5p2/p7/4k3/7K/8/8/1q6 w - - 0 1,0.5
8/5p2/p7/4k3/8/6K1/8/1q6 b - - 0 1,0.5
8/5p2/p3k3/8/8/6K1/8/1q6 w - - 0 1,0.5
8/5p2/p3k3/8/8/8/5K2/1q6 b - - 0 1,0.5
8/5p2/p3k1q1/8/8/8/5K2/8 w - - 0 1,0.5
8/5p2/p3k1q1/8/8/4K3/8/8 b - - 0 1,0.5
8/5p2/p3k3/5q2/8/4K3/8/8 w - - 0 1,0.5
8/5p2/p3k3/5q2/3K4/8/8/8 b - - 0 1,0.5
8/5p2/p3k1q1/8/3K4/8/8/8 w - - 0 1,0.5
8/5p2/p3k1q1/8/8/4K3/8/8 b - - 0 1,0.5
8/5p2/p3k3/8/8/4K3/8/1q6 w - - 0 1,0.5
8/5p2/p3k3/8/5K2/8/8/1q6 b - - 0 1,0.5
8/5p2/p2k4/8/5K2/8/8/1q6 w - - 0 1,0.5
8/5p2/p2k4/8/8/6K1/8/1q6 b - - 0 1,0.5
8/2k2p2/p7/8/8/6K1/8/1q6 w - - 0 1,0.5
8/2k2p2/p7/8/8/7K/8/1q6 b - - 0 1,0.5
8/2k2p2/p7/8/8/7K/8/5q2 w - - 0 1,0.5
8/2k2p2/p7/8/6K1/8/8/5q2 b - - 0 1,0.5
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w - - 0 1,0.5
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b - - 0 1,0.5
r1bqkbnr/pppppppp/2n5/8/8/5N2/PPPPPPPP/RNBQKB1R w - - 0 1,0.5
r1bqkbnr/pppppppp/2n5/8/8/2N2N2/PPPPPPPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/pppppppp/2n2n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/pppppppp/2n2n2/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/pppppppp/5n2/8/3n4/2N2N2/PPP1PPPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/pppppppp/5n2/8/3N4/2N5/PPP1PPPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/ppppppp1/5n1p/8/3N4/2N5/PPP1PPPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/ppppppp1/5n1B/8/3N4/2N5/PPP1PPPP/R2QKB1R b - - 0 1,0.5
